t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,8,0.744087,0,0,0,0.853287,0.601952,0.248949,0,0,0.172934,0.1,0.86,0.75,0.7,0.75,0.4995,0.550068,0.650204,0.1
2,11,0.745675,0,0,0,0.856575,0.603908,0.247897,0,0,0.165803,0.1,0.86,0.75,0.7,0.75,0.49899,0.547126,0.650412,0.1
3,4,0.746815,0,0,0,0.858363,0.605874,0.246845,0,0,0.158635,0.1,0.857,0.75,0.7,0.75,0.496971,0.547171,0.650623,0.1
4,2,0.748853,0,0,0,0.861651,0.607829,0.245791,0.304771,5,0.151402,0.1,0.858,0.75,0.703,0.742018,0.496441,0.547208,0.650839,0.1
5,5,0.750739,0,0,0,0.865942,0.609769,0.244736,0.254771,5,0.144084,0.1,0.86,0.75,0.703,0.735233,0.495902,0.547235,0.655059,0.1
6,4,0.751874,0,0,0,0.867733,0.611702,0.243681,0.204771,5,0.136729,0.1,0.857,0.75,0.703,0.729614,0.493853,0.547248,0.655282,0.1
7,11,0.753458,0,0,0,0.871025,0.613625,0.242624,0.154771,5,0.129308,0.1,0.857,0.75,0.703,0.725132,0.493295,0.544253,0.655509,0.1
8,7,0.75504,0,0,0,0.874316,0.615543,0.241567,0.104771,5,0.121822,0.1,0.859,0.75,0.703,0.721765,0.492727,0.544248,0.65574,0.1
9,10,0.756623,0,0,0,0.877608,0.617459,0.240509,0.054771,5,0.11427,0.1,0.859,0.75,0.703,0.719496,0.492149,0.547235,0.655975,0.1
10,4,0.757757,0,0,0,0.8794,0.619382,0.239449,0.00477097,5,0.106682,0.1,0.856,0.75,0.703,0.718314,0.490062,0.547207,0.656214,0.1
11,4,0.758893,0,0,0,0.881192,0.621314,0.238389,0,5,0.0990581,0.1,0.853,0.75,0.703,0.718211,0.487965,0.547167,0.656457,0.1
12,11,0.76048,0,0,0,0.884485,0.623251,0.237328,0,5,0.0913684,0.1,0.853,0.75,0.703,0.718211,0.487358,0.544116,0.656703,0.1
13,7,0.762069,0,0,0,0.887777,0.625193,0.236265,0,5,0.0836129,0.1,0.855,0.75,0.703,0.718211,0.486742,0.544057,0.656954,0.1
14,4,0.76321,0,0,0,0.88957,0.627145,0.235202,0,5,0.0758215,0.1,0.852,0.75,0.703,0.718211,0.484616,0.543984,0.657208,0.1
15,11,0.764802,0,0,0,0.892863,0.629102,0.234138,0,5,0.0679642,0.1,0.852,0.75,0.703,0.718211,0.48398,0.540901,0.657466,0.1
