t,action,reward,cost0,cost1,cost2,gdp_pc,cohesion,internal_conflict_risk,shock_severity,shock_type,unemployment,inflation,debt_to_gdp,democracy,education,healthcare,inequality,polarization,state_capacity,systemic_stress
1,4,0.743638,0,0,0,0.851788,0.601957,0.248949,0,0,0.172964,0.1,0.857,0.75,0.7,0.75,0.498,0.550063,0.650204,0.1
2,2,0.745679,0,0,0,0.855075,0.603928,0.247897,0,0,0.165863,0.1,0.858,0.75,0.703,0.75,0.49749,0.550117,0.650412,0.1
3,9,0.747271,0,0,0,0.858363,0.605903,0.246845,0,0,0.158695,0.1,0.858,0.75,0.703,0.75,0.496971,0.550162,0.650624,0.1
4,11,0.748864,0,0,0,0.861651,0.607882,0.245791,0,0,0.151462,0.1,0.858,0.75,0.703,0.75,0.496441,0.547198,0.650839,0.1
5,5,0.750759,0,0,0,0.865942,0.609866,0.244736,0,0,0.144144,0.1,0.86,0.75,0.703,0.75,0.495902,0.547225,0.655059,0.1
6,4,0.751906,0,0,0,0.867733,0.61186,0.243681,0,0,0.136789,0.1,0.857,0.75,0.703,0.75,0.493852,0.547238,0.655283,0.1
7,11,0.753504,0,0,0,0.871025,0.613858,0.242624,0,0,0.129368,0.1,0.857,0.75,0.703,0.75,0.493293,0.544242,0.655511,0.1
8,3,0.756002,0,0,0,0.877316,0.615854,0.241567,0,0,0.121822,0.1,0.859,0.75,0.703,0.75,0.494724,0.544242,0.655742,0.1
9,3,0.7585,0,0,0,0.883608,0.617847,0.240509,0,0,0.11415,0.1,0.861,0.75,0.703,0.75,0.496144,0.54424,0.655978,0.1
10,10,0.760099,0,0,0,0.8869,0.619845,0.239449,0,0,0.106412,0.1,0.861,0.75,0.703,0.75,0.495555,0.547228,0.656218,0.1
11,10,0.761699,0,0,0,0.890192,0.621847,0.238389,0,0,0.0986081,0.1,0.861,0.75,0.703,0.75,0.494956,0.550206,0.656461,0.1
12,4,0.762852,0,0,0,0.891985,0.62386,0.237328,0,0,0.0907684,0.1,0.858,0.75,0.703,0.75,0.492847,0.550171,0.656709,0.1
13,2,0.764907,0,0,0,0.895277,0.625886,0.236265,0,0,0.0828629,0.1,0.859,0.75,0.706,0.75,0.492227,0.550126,0.656961,0.1
14,1,0.766514,0,0,0,0.89857,0.627917,0.235202,0,0,0.0748915,0.1,0.861,0.75,0.706,0.75,0.491598,0.550071,0.657217,0.1
15,1,0.768122,0,0,0,0.901863,0.629953,0.234138,0,0,0.0668542,0.1,0.863,0.75,0.706,0.75,0.490958,0.550007,0.657477,0.1
16,10,0.769731,0,0,0,0.905156,0.631994,0.233073,0,0,0.0587511,0.1,0.863,0.75,0.706,0.75,0.490309,0.552933,0.657741,0.1
17,3,0.77224,0,0,0,0.911449,0.634033,0.232007,0,0,0.0505221,0.1,0.865,0.75,0.706,0.75,0.491649,0.552856,0.658009,0.1
18,3,0.774749,0,0,0,0.917743,0.63607,0.230939,0,0,0.0421673,0.1,0.867,0.75,0.706,0.75,0.492979,0.552774,0.658281,0.1
19,4,0.77591,0,0,0,0.919537,0.638116,0.229871,0,0,0.0337765,0.1,0.864,0.75,0.706,0.75,0.490798,0.552679,0.658557,0.1
20,6,0.778124,0,0,0,0.92283,0.643176,0.228802,0,0,0.0253199,0.1,0.866,0.75,0.706,0.75,0.488093,0.552558,0.658843,0.1
21,6,0.780341,0,0,0,0.926125,0.648247,0.227732,0,0,0.0167974,0.1,0.868,0.75,0.706,0.75,0.485362,0.552413,0.65914,0.1
22,9,0.781958,0,0,0,0.929419,0.650324,0.22666,0,0,0.00820904,0.1,0.868,0.75,0.706,0.75,0.484621,0.552257,0.65944,0.1
23,11,0.783578,0,0,0,0.932714,0.652406,0.225588,0,0,0,0.1,0.868,0.75,0.706,0.75,0.483869,0.549092,0.659745,0.1
24,1,0.785198,0,0,0,0.936008,0.654493,0.224514,0,0,0,0.1,0.87,0.75,0.706,0.75,0.483107,0.548916,0.660054,0.1
25,10,0.78682,0,0,0,0.939303,0.656586,0.22344,0,0,0,0.1,0.87,0.75,0.706,0.75,0.482334,0.55173,0.660367,0.1
26,1,0.788444,0,0,0,0.942599,0.658684,0.222364,0,0,0,0.1,0.872,0.75,0.706,0.75,0.481551,0.551534,0.660685,0.1
27,7,0.790068,0,0,0,0.945894,0.660788,0.221287,0,0,0,0.1,0.874,0.75,0.706,0.75,0.480758,0.551327,0.661006,0.1
28,10,0.791694,0,0,0,0.94919,0.662897,0.22021,0,0,0,0.1,0.874,0.75,0.706,0.75,0.479954,0.55411,0.661332,0.1
29,7,0.793322,0,0,0,0.952486,0.665012,0.219131,0,0,0,0.1,0.876,0.75,0.706,0.75,0.47914,0.553883,0.661662,0.1
30,8,0.794951,0,0,0,0.955782,0.667132,0.218051,0,0,0,0.1,0.876,0.75,0.706,0.75,0.478315,0.553645,0.661996,0.1
31,11,0.796581,0,0,0,0.959079,0.669258,0.21697,0,0,0,0.1,0.876,0.75,0.706,0.75,0.477479,0.550397,0.662335,0.1
32,4,0.797764,0,0,0,0.960875,0.671394,0.215887,0,0,0,0.1,0.873,0.75,0.706,0.75,0.475133,0.550134,0.662678,0.1
33,11,0.799398,0,0,0,0.964172,0.673537,0.214804,0,0,0,0.1,0.873,0.75,0.706,0.75,0.474276,0.54686,0.663025,0.1
34,5,0.801335,0,0,0,0.968473,0.675685,0.21372,0,0,0,0.1,0.875,0.75,0.706,0.75,0.473408,0.546575,0.667376,0.1
35,6,0.803574,0,0,0,0.971773,0.680846,0.212634,0,0,0,0.1,0.877,0.75,0.706,0.75,0.470515,0.546265,0.667738,0.1
36,8,0.805215,0,0,0,0.975074,0.683013,0.211547,0,0,0,0.1,0.877,0.75,0.706,0.75,0.46961,0.545943,0.668104,0.1
37,1,0.806858,0,0,0,0.978375,0.685186,0.210459,0.0260225,4,0,0.1,0.879,0.75,0.706,0.75,0.468695,0.545611,0.668474,0.1
38,10,0.808502,0,0,0,0.981676,0.687365,0.20937,0,4,0,0.1,0.879,0.75,0.706,0.75,0.467769,0.548268,0.668849,0.1
39,9,0.810147,0,0,0,0.984978,0.68955,0.20828,0,4,0,0.1,0.879,0.75,0.706,0.75,0.466832,0.547914,0.669228,0.1
40,3,0.812693,0,0,0,0.99128,0.691734,0.207189,0,4,0,0.1,0.881,0.75,0.706,0.75,0.467885,0.547555,0.669612,0.1
41,10,0.81434,0,0,0,0.994582,0.693924,0.206096,0,4,0,0.1,0.881,0.75,0.706,0.75,0.466926,0.550185,0.669999,0.1
42,1,0.815989,0,0,0,0.997885,0.69612,0.205002,0,4,0,0.1,0.883,0.75,0.706,0.75,0.465956,0.549803,0.670392,0.1
43,11,0.817283,0,0,0,1,0.698322,0.203907,0,4,0,0.1,0.883,0.75,0.706,0.75,0.464976,0.546411,0.670788,0.1
44,2,0.818396,0,0,0,1,0.700539,0.202811,0,4,0,0.1,0.884,0.75,0.709,0.75,0.463984,0.546007,0.671189,0.1
45,5,0.81906,0,0,0,1,0.702762,0.201714,0,4,0,0.1,0.886,0.75,0.709,0.75,0.462982,0.545592,0.675595,0.1
46,4,0.819727,0,0,0,1,0.704998,0.200615,0,4,0,0.1,0.883,0.75,0.709,0.75,0.460468,0.545161,0.676005,0.1
47,5,0.820395,0,0,0,1,0.707239,0.199515,0,4,0,0.1,0.885,0.75,0.709,0.75,0.459443,0.544718,0.680419,0.1
48,6,0.821666,0,0,0,1,0.712494,0.198414,0,4,0,0.1,0.887,0.75,0.709,0.75,0.456392,0.544249,0.680844,0.1
49,6,0.82294,0,0,0,1,0.717763,0.197312,0,4,0,0.1,0.889,0.75,0.709,0.75,0.453314,0.543754,0.68128,0.1
50,9,0.823616,0,0,0,1,0.720039,0.196208,0,4,0,0.1,0.889,0.75,0.709,0.75,0.452225,0.543246,0.68172,0.1
51,9,0.823951,0,0,0,1,0.720607,0.195103,0.0293183,1,0,0.1,0.889,0.75,0.709,0.75,0.451134,0.542732,0.682161,0.1
52,10,0.824503,0,0,0,1,0.722262,0.193997,0,1,0,0.1,0.889,0.75,0.709,0.75,0.450034,0.545208,0.682606,0.1
53,5,0.825184,0,0,0,1,0.724557,0.19289,0,1,0,0.1,0.891,0.75,0.709,0.75,0.448922,0.544672,0.687055,0.1
54,2,0.826317,0,0,0,1,0.726868,0.191781,0,1,0,0.1,0.892,0.75,0.712,0.75,0.4478,0.544124,0.687509,0.1
55,4,0.827004,0,0,0,1,0.729192,0.190671,0,1,0,0.1,0.889,0.75,0.712,0.75,0.445165,0.54356,0.687967,0.1
56,6,0.828294,0,0,0,1,0.734529,0.18956,0,1,0,0.1,0.891,0.75,0.712,0.75,0.442004,0.542968,0.688436,0.1
57,6,0.829587,0,0,0,1,0.73988,0.188447,0,1,0,0.1,0.893,0.75,0.712,0.75,0.438817,0.542349,0.688916,0.1
58,6,0.830882,0,0,0,1,0.745246,0.187334,0,1,0,0.1,0.895,0.75,0.712,0.75,0.435602,0.541703,0.689406,0.1
59,7,0.83158,0,0,0,1,0.747618,0.186218,0,1,0,0.1,0.897,0.75,0.712,0.75,0.434376,0.541044,0.689901,0.1
60,8,0.832279,0,0,0,1,0.749998,0.185102,0,1,0,0.1,0.897,0.75,0.712,0.75,0.433138,0.540373,0.690401,0.1
61,4,0.832981,0,0,0,1,0.75239,0.183984,0,1,0,0.1,0.894,0.75,0.712,0.75,0.430388,0.539685,0.690906,0.1
62,7,0.833685,0,0,0,1,0.75479,0.182864,0,1,0,0.1,0.896,0.75,0.712,0.75,0.429126,0.538984,0.691416,0.1
63,2,0.834842,0,0,0,1,0.757206,0.181744,0,1,0,0.1,0.897,0.75,0.715,0.75,0.427852,0.53827,0.69193,0.1
64,4,0.835553,0,0,0,1,0.759634,0.180622,0,1,0,0.1,0.894,0.75,0.715,0.75,0.425066,0.537539,0.69245,0.1
65,1,0.836264,0,0,0,1,0.76207,0.179498,0,1,0,0.1,0.896,0.75,0.715,0.75,0.423768,0.536795,0.692974,0.1
66,9,0.836978,0,0,0,1,0.764514,0.178373,0,1,0,0.1,0.896,0.75,0.715,0.75,0.422458,0.536038,0.693503,0.1
67,1,0.837694,0,0,0,1,0.766965,0.177247,0,1,0,0.1,0.898,0.75,0.715,0.75,0.421135,0.535268,0.694037,0.1
68,1,0.838411,0,0,0,1,0.769423,0.176119,0,1,0,0.1,0.9,0.75,0.715,0.75,0.4198,0.534485,0.694575,0.1
69,6,0.839731,0,0,0,1,0.774896,0.17499,0,1,0,0.1,0.902,0.75,0.715,0.75,0.416438,0.533674,0.695125,0.1
70,1,0.840453,0,0,0,1,0.777377,0.17386,0,1,0,0.1,0.904,0.75,0.715,0.75,0.415064,0.532849,0.69568,0.1
71,7,0.841177,0,0,0,1,0.779865,0.172728,0,1,0,0.1,0.906,0.75,0.715,0.75,0.413677,0.532012,0.69624,0.1
72,5,0.841903,0,0,0,1,0.782362,0.171594,0,1,0,0.1,0.908,0.75,0.715,0.75,0.412277,0.531161,0.700804,0.1
73,1,0.842631,0,0,0,1,0.784866,0.17046,0,1,0,0.1,0.91,0.75,0.715,0.75,0.410866,0.530296,0.701374,0.1
74,5,0.843361,0,0,0,1,0.787378,0.169323,0,1,0,0.1,0.912,0.75,0.715,0.75,0.409441,0.529418,0.705949,0.1
75,10,0.844092,0,0,0,1,0.789897,0.168185,0,1,0,0.1,0.912,0.75,0.715,0.75,0.408004,0.531526,0.706529,0.1
76,2,0.845278,0,0,0,1,0.792434,0.167046,0,1,0,0.1,0.913,0.75,0.718,0.75,0.406555,0.530621,0.707114,0.1
77,7,0.846015,0,0,0,1,0.794979,0.165905,0,1,0,0.1,0.915,0.75,0.718,0.75,0.405093,0.529702,0.707704,0.1
78,4,0.846755,0,0,0,1,0.797537,0.164763,0,1,0,0.1,0.912,0.75,0.718,0.75,0.402118,0.528764,0.708299,0.1
79,10,0.847497,0,0,0,1,0.800103,0.163619,0,1,0,0.1,0.912,0.75,0.718,0.75,0.40063,0.530813,0.708899,0.1
80,3,0.848239,0,0,0,1,0.802671,0.162474,0,1,0,0.1,0.914,0.75,0.718,0.75,0.40113,0.529854,0.709504,0.1
81,6,0.849585,0,0,0,1,0.808253,0.161327,0,1,0,0.1,0.916,0.75,0.718,0.75,0.397601,0.528866,0.710121,0.1
82,9,0.850333,0,0,0,1,0.810844,0.160179,0,1,0,0.1,0.916,0.75,0.718,0.75,0.39606,0.527863,0.710742,0.1
83,8,0.851083,0,0,0,1,0.813444,0.159029,0,1,0,0.1,0.916,0.75,0.718,0.75,0.394506,0.526847,0.711369,0.1
84,11,0.851835,0,0,0,1,0.816051,0.157878,0,1,0,0.1,0.916,0.75,0.718,0.75,0.392939,0.522816,0.712001,0.1
85,5,0.852589,0,0,0,1,0.818668,0.156725,0,1,0,0.1,0.918,0.75,0.718,0.75,0.391358,0.521771,0.716639,0.1
86,4,0.853345,0,0,0,1,0.821298,0.15557,0,1,0,0.1,0.915,0.75,0.718,0.75,0.388265,0.520707,0.717281,0.1
87,8,0.854104,0,0,0,1,0.823936,0.154414,0,1,0,0.1,0.915,0.75,0.718,0.75,0.386658,0.519628,0.717929,0.1
88,4,0.854866,0,0,0,1,0.826589,0.153257,0,1,0,0.1,0.912,0.75,0.718,0.75,0.383539,0.518531,0.718582,0.1
89,8,0.855631,0,0,0,1,0.82925,0.152097,0,1,0,0.1,0.912,0.75,0.718,0.75,0.381906,0.517419,0.719241,0.1
90,4,0.856398,0,0,0,1,0.831926,0.150936,0,1,0,0.1,0.909,0.75,0.718,0.75,0.37876,0.516287,0.719905,0.1
91,10,0.857167,0,0,0,1,0.83461,0.149774,0,1,0,0.1,0.909,0.75,0.718,0.75,0.3771,0.518141,0.720574,0.1
92,2,0.85839,0,0,0,1,0.837312,0.14861,0,1,0,0.1,0.91,0.75,0.721,0.75,0.375427,0.51698,0.721249,0.1
93,4,0.859167,0,0,0,1,0.840028,0.147444,0,1,0,0.1,0.907,0.75,0.721,0.75,0.37224,0.5158,0.721929,0.1
94,9,0.859945,0,0,0,1,0.842753,0.146277,0,1,0,0.1,0.907,0.75,0.721,0.75,0.37054,0.514604,0.722614,0.1
95,10,0.860726,0,0,0,1,0.845488,0.145108,0,1,0,0.1,0.907,0.75,0.721,0.75,0.368826,0.516394,0.723305,0.1
96,8,0.861509,0,0,0,1,0.848231,0.143937,0,1,0,0.1,0.907,0.75,0.721,0.75,0.367099,0.515168,0.724002,0.1
97,6,0.862895,0,0,0,1,0.85399,0.142765,0,1,0,0.1,0.909,0.75,0.721,0.75,0.363343,0.513912,0.72471,0.1
98,10,0.863684,0,0,0,1,0.856759,0.141591,0,1,0,0.1,0.909,0.75,0.721,0.75,0.361573,0.51564,0.725423,0.1
99,7,0.864474,0,0,0,1,0.859537,0.140416,0,1,0,0.1,0.911,0.75,0.721,0.75,0.359789,0.514354,0.726142,0.1
100,11,0.865267,0,0,0,1,0.862324,0.139238,0,1,0,0.1,0.911,0.75,0.721,0.75,0.357991,0.510051,0.726867,0.1
101,3,0.866061,0,0,0,1,0.865114,0.138059,0,1,0,0.1,0.913,0.75,0.721,0.75,0.35818,0.508739,0.727597,0.1
102,8,0.866857,0,0,0,1,0.867912,0.136879,0,1,0,0.1,0.913,0.75,0.721,0.75,0.356354,0.507412,0.728333,0.1
103,2,0.868107,0,0,0,1,0.87073,0.135696,0,1,0,0.1,0.914,0.75,0.724,0.75,0.354515,0.506068,0.729074,0.1
104,5,0.868909,0,0,0,1,0.873556,0.134512,0,1,0,0.1,0.916,0.75,0.724,0.75,0.352661,0.504709,0.733821,0.1
